Entity,Code,Day,Unvaccinated,"Fully vaccinated, no booster",Fully vaccinated + booster
All ages,,2021-04-03,1.220540730156618,0.023372272770701197,
All ages,,2021-04-10,1.0221143935178654,0.042329940523770065,
All ages,,2021-04-17,0.8082763806968636,0.05913461094795044,
All ages,,2021-04-24,1.3040065461938386,0.10595931996941893,
All ages,,2021-05-01,1.78529515862353,0.08068440821685442,
All ages,,2021-05-08,1.1739386678027772,0.09874197223292137,
All ages,,2021-05-15,0.8691871227375615,0.0313905036423541,
All ages,,2021-05-22,1.5999248965210262,0.030159501793339323,
All ages,,2021-05-29,0.6222329218201657,0.07700324071244974,
All ages,,2021-06-05,1.0129271993779512,0.05864664415263478,
All ages,,2021-06-12,0.4658901418846528,0.03515827720000603,
All ages,,2021-06-19,0.41396603017277867,0,
All ages,,2021-06-26,0.24874045257526928,0.02438887095441294,
All ages,,2021-07-03,0.10762666883908965,0,
All ages,,2021-07-10,0.21540257734493784,0,
All ages,,2021-07-17,0,0.013584861782446495,
All ages,,2021-07-24,0.24344481500310264,0,
All ages,,2021-07-31,0.7323161994899162,0.013482007376633921,
All ages,,2021-08-07,0.21152977170797627,0,
All ages,,2021-08-14,0.6171587948758595,0.05363175889790266,
All ages,,2021-08-21,1.3931719675694534,0.1250730713182747,
All ages,,2021-08-28,2.714700239910517,0.08335269405693166,
All ages,,2021-09-04,2.921039702592658,0.20401033492929754,
All ages,,2021-09-11,2.7215963272700385,0.20325730921538174,
All ages,,2021-09-18,2.5363482348178916,0.20400419275329473,
All ages,,2021-09-25,2.184805365358034,0.24007788534043353,
All ages,,2021-10-02,3.2806739785693,0.03994345562412589,
All ages,,2021-10-09,2.0305451405610406,0.13129139689934208,0
All ages,,2021-10-16,2.1831425195202003,0.156541770954021,0
All ages,,2021-10-23,2.247894759268192,0.18394985685600565,0
All ages,,2021-10-30,2.5013025401632154,0.24659630222398177,0
All ages,,2021-11-06,2.596557421540874,0.22068996976628008,0
All ages,,2021-11-13,5.78953454761824,0.2545878497861597,0.6365166999908485
All ages,,2021-11-20,6.53680082282655,0.43786468078292395,0.08738452638200431
All ages,,2021-11-27,8.038488040973524,0.8711190178242276,0.29066399086571326
All ages,,2021-12-04,11.84907110344345,1.2244604037696147,0.8039180835452141
All ages,,2021-12-11,16.304576227270356,1.861994643039363,0.438200259794999
All ages,,2021-12-18,16.81158472838888,1.6977822671337657,0.3714389825836443
All ages,,2021-12-25,14.507066757337508,1.2416739089426996,0.4306637654215265
All ages,,2022-01-01,13.33994692749123,1.447909278942431,0.26596701483644375
All ages,,2022-01-08,11.561828418865653,0.8901410785693072,0.06653048075002171
