Mesorregiao,Municipios
Nordeste Baiano,Sítio do Quinto
Nordeste Baiano,Cansanção
Nordeste Baiano,Canudos
Nordeste Baiano,Euclides da Cunha
Nordeste Baiano,Monte Santo
Nordeste Baiano,Nordestina
Nordeste Baiano,Queimadas
Nordeste Baiano,Quijingue
Nordeste Baiano,Tucano
Nordeste Baiano,Uauá
Nordeste Baiano,Adustina
Nordeste Baiano,Antas
Nordeste Baiano,Banzaê
Nordeste Baiano,Cícero Dantas
Nordeste Baiano,Cipó
Nordeste Baiano,Fátima
Nordeste Baiano,Heliópolis
Nordeste Baiano,Itapicuru
Nordeste Baiano,Nova Soure
Nordeste Baiano,Novo Triunfo
Nordeste Baiano,Olindina
Nordeste Baiano,Paripiranga
Nordeste Baiano,Ribeira do Amparo
Nordeste Baiano,Ribeira do Pombal
Nordeste Baiano,Araci
Nordeste Baiano,Barrocas
Nordeste Baiano,Biritinga
Nordeste Baiano,Candeal
Nordeste Baiano,Capela do Alto Alegre
