,Municipio,Codigo_IBGE,Populacao,Populacao_60+
66,Batatais,3505906,60222,10779
67,Bauru,3506003,364225,62416
68,Bebedouro,3506102,74155,13801
69,Bento de Abreu,3506201,2945,455
70,Bernardino de Campos,3506300,10787,2156
71,Bertioga,3506359,63290,6351
72,Bilac,3506409,7816,1521
73,Birigui,3506508,121329,19969
74,Biritiba Mirim,3506607,32338,4381
75,Boa Esperança do Sul,3506706,14582,2032
76,Bocaina,3506805,12135,1818
77,Bofete,3506904,11076,1948
78,Boituva,3507001,57292,7426
79,Bom Jesus dos Perdões,3507100,24291,3068
80,Bom Sucesso de Itararé,3507159,3861,404
81,Borá,3507209,812,130
82,Boracéia,3507308,4759,739
83,Borborema,3507407,15323,2800
84,Borebi,3507456,2579,356
85,Botucatu,3507506,141135,23520
86,Bragança Paulista,3507605,163980,25945
87,Braúna,3507704,5552,1025
88,Brejo Alegre,3507753,2768,461
89,Brodowski,3507803,23943,3710
90,Brotas,3507902,23850,3735
91,Buri,3508009,19678,2558
92,Buritama,3508108,16596,2947
93,Buritizal,3508207,4307,822
94,Cabrália Paulista,3508306,4308,695
95,Cabreúva,3508405,49430,5335
96,Caçapava,3508504,91217,14274
97,Cachoeira Paulista,3508603,32231,5391
98,Caconde,3508702,18854,3458
99,Cafelândia,3508801,17244,3107
100,Caiabu,3508900,4103,771
101,Caieiras,3509007,100612,12059
102,Caiuá,3509106,5600,973
103,Cajamar,3509205,77627,7690
104,Cajati,3509254,28992,3888
105,Cajobi,3509304,10105,1830
106,Cajuru,3509403,25663,3904
107,Campina do Monte Alegre,3509452,5812,919
108,Campinas,3509502,1175501,192796
109,Campo Limpo Paulista,3509601,82842,11337
110,Campos do Jordão,3509700,50118,6425
111,Campos Novos Paulista,3509809,4817,826
112,Cananéia,3509908,12341,2042
113,Canas,3509957,5064,615
114,Cândido Mota,3510005,30019,5524
115,Cândido Rodrigues,3510104,2674,615
116,Canitar,3510153,4991,555
117,Capão Bonito,3510203,46418,6902
118,Capela do Alto,3510302,20542,2631
119,Capivari,3510401,54231,7404
120,Caraguatatuba,3510500,116106,16658
121,Carapicuíba,3510609,394598,50996
122,Cardoso,3510708,11721,2513
123,Casa Branca,3510807,29462,5049
124,Cássia dos Coqueiros,3510906,2495,501
125,Castilho,3511003,20728,3273
126,Catanduva,3511102,117206,21966
127,Catiguá,3511201,7529,1225
128,Cedral,3511300,8836,1727
129,Cerqueira César,3511409,19213,3050
130,Cerquilho,3511508,46411,7050
131,Cesário Lange,3511607,17248,2469
132,Charqueada,3511706,16933,2399
133,Clementina,3511904,8324,1068
134,Colina,3512001,17603,3020
135,Colômbia,3512100,6046,914
136,Conchal,3512209,27284,3663
137,Conchas,3512308,17134,3050
138,Cordeirópolis,3512407,24356,3527
139,Coroados,3512506,5926,990
140,Coronel Macedo,3512605,4843,899
141,Corumbataí,3512704,3962,671
142,Cosmópolis,3512803,71282,8796
143,Cosmorama,3512902,6997,1671
144,Cotia,3513009,247424,28357
145,Cravinhos,3513108,34428,5222
146,Cristais Paulista,3513207,8425,1336
147,Cruzália,3513306,2117,425
148,Cruzeiro,3513405,79927,13518
149,Cubatão,3513504,129145,15732
150,Cunha,3513603,21681,3872
151,Descalvado,3513702,32430,5840
152,Diadema,3513801,404477,47787
153,Dirce Reis,3513850,1717,384
154,Divinolândia,3513900,10886,2259
155,Dobrada,3514007,8904,1039
156,Dois Córregos,3514106,26972,4156
157,Dolcinópolis,3514205,2040,465
158,Dourado,3514304,8482,1733
159,Dracena,3514403,44995,9156
160,Duartina,3514502,11975,2485
161,Dumont,3514601,9570,1333
162,Echaporã,3514700,6217,1188
163,Eldorado,3514809,15236,2195
164,Elias Fausto,3514908,17346,2361
165,Elisiário,3514924,3499,590
166,Embaúba,3514957,2409,461
167,Embu das Artes,3515004,270790,29639
168,Embu-Guaçu,3515103,68053,9074
169,Emilianópolis,3515129,3068,625
170,Engenheiro Coelho,3515152,20535,1870
171,Espírito Santo do Pinhal,3515186,42573,7818
172,Espírito Santo do Turvo,3515194,4799,626
